cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
42000 108.903786131 31.7975540633 31.0665017772 0.00348527588952 -1.60644998218e-05 2.56485161578e-05 0.0033604473812 -3.240601243e-05 -6.33200829252e-05 0.00360387074823 1.41924876336e-05 8.56431616257e-05 0.00349737803198 -4.96490185765e-05 3.43925913101e-05 0.0034357682416 -1.07515695217e-05 6.86049900978e-06 0.0035999609477 5.10022537528e-06 6.30029259214e-05 0.00334749954226 -3.86069772487e-05 -1.46439702343e-05 78.7917558879 133.398925156
43000 109.251849014 31.7957556746 31.0689165049 0.00348504729053 -1.6249522244e-05 2.67451776926e-05 0.00336623185968 -3.21574523262e-05 -6.40867545424e-05 0.003597117644 7.05441386164e-06 7.81938621192e-05 0.00349936090662 -4.74081569184e-05 3.63685397697e-05 0.00343554541368 -1.18137759021e-05 5.19198814221e-06 0.00359213650709 1.82249389608e-06 6.2219141184e-05 0.00335272442647 -3.86540060639e-05 -1.39801177953e-05 78.4853970665 133.331549215
44000 109.600225922 31.7941315074 31.071420075 0.0034855881259 -1.52539329967e-05 2.51181750732e-05 0.00337082657071 -3.24719998908e-05 -7.00197107759e-05 0.00360162031845 7.20775272825e-06 8.22303638539e-05 0.00349490070666 -4.80376300445e-05 3.36821296785e-05 0.00343507767169 -1.07091997891e-05 5.67229458502e-06 0.00359790025889 4.10899201967e-06 6.18638832383e-05 0.0033552364299 -3.94485721511e-05 -1.53989803346e-05 78.2400948012 133.306840303
45000 109.948579778 31.7925327413 31.0738694719 0.00348675951655 -1.38127793356e-05 2.54701458267e-05 0.00337774018312 -3.10855089173e-05 -6.84361552463e-05 0.00359652579289 5.50341371139e-06 8.02560264318e-05 0.00349369812217 -4.6463326159e-05 3.52278488475e-05 0.00344262709242 -1.04823317754e-05 8.82860679036e-07 0.00359943371814 6.09262974973e-06 6.38071611759e-05 0.0033535709866 -3.69795582949e-05 -1.55046777492e-05 77.9778872909 133.27200955
46000 110.297018569 31.7910629637 31.0763268951 0.0034870671386 -1.40212866425e-05 2.5524136831e-05 0.00338217980986 -3.02829213841e-05 -6.9028961869e-05 0.00359546075923 6.54415384916e-06 8.8060445583e-05 0.0034927749236 -4.73338509408e-05 3.58353984002e-05 0.00344098740009 -1.13411181562e-05 -1.1378738327e-07 0.00360013204766 5.39390082485e-06 6.24681236657e-05 0.00335630308979 -3.78249278819e-05 -1.47705003063e-05 77.7358879851 133.248318867
47000 110.64573277 31.7895830487 31.0787322547 0.00348947471564 -1.35552116711e-05 2.45474258171e-05 0.00338916142442 -3.20576033995e-05 -7.46168557142e-05 0.00359197001017 5.2285355959e-06 9.00370096793e-05 0.0034944655248 -4.40814874679e-05 3.38106753088e-05 0.00344369778565 -1.15724010975e-05 -9.01318918475e-08 0.00360014258564 4.4318999739e-06 6.20579022359e-05 0.00336212451099 -3.89664178862e-05 -1.67318599983e-05 77.495247863 133.225824072
48000 110.994670293 31.7882920665 31.0812011191 0.00348993242518 -1.2501059951e-05 2.48101890706e-05 0.00339633550763 -3.01517835435e-05 -7.24672309719e-05 0.00358578209011 5.79688649917e-06 9.45921959761e-05 0.0034927840992 -4.42486933798e-05 3.54354940874e-05 0.00345094728757 -9.80379398506e-06 -4.54117943631e-06 0.00360120348544 5.99774165758e-06 6.2124070322e-05 0.00335968577126 -3.6468321505e-05 -1.63496195102e-05 77.2885524013 133.218545939
49000 111.343589542 31.7870302282 31.0836158036 0.00349028933235 -1.15237438433e-05 2.4336184314e-05 0.00339993986106 -2.84425308281e-05 -7.42652647821e-05 0.00358395695008 6.96173166507e-06 9.80711675756e-05 0.00349216553685 -4.27933192158e-05 3.56067567198e-05 0.0034499816617 -1.07927475791e-05 -4.97699382825e-06 0.00360107229347 6.30744644427e-06 6.12918023181e-05 0.00336335334249 -3.60860638495e-05 -1.64006036292e-05 77.0633770041 133.200784601
50000 111.692719677 31.7859035049 31.0860309164 0.00349159415833 -1.13780420689e-05 2.37388407362e-05 0.0034059092351 -3.04103007898e-05 -7.90267884764e-05 0.00357795889977 5.54968677572e-06 9.91769864373e-05 0.00349279844775 -4.12677157814e-05 3.49873536499e-05 0.00345206348373 -1.07331835379e-05 -5.34401025209e-06 0.0036006335105 5.99452986213e-06 6.01255391557e-05 0.0033676606989 -3.76196907613e-05 -1.7628771198e-05 76.8560870195 133.188893807
51000 112.041915882 31.7848731763 31.0884188078 0.00349284780989 -1.00798796025e-05 2.35699952177e-05 0.00341313681563 -2.89267616901e-05 -7.72133355347e-05 0.00359890678947 -2.21083300695e-05 9.49459309368e-05 0.00349133265357 -4.02177159373e-05 3.59226464237e-05 0.00345989547242 -9.54084643347e-06 -1.0316297368e-05 0.0036031300295 7.41888683755e-06 5.98212420037e-05 0.00336483876596 -3.46931113005e-05 -1.79124889726e-05 76.6465242771 133.173550239
